from,to,date_from,date_to,place_from,y_from,x_from,place_to,x_to,y_to
Peter Saltonstall,"Sir Robert Cecil, Earl of Salisbury",16011017,16011017,NA,NA,NA,Greenwich,-0,51.48
Richard Butler,"Sir Robert Cecil, Earl of Salisbury",15970908,15970908,NA,NA,NA,Greenwich,-0,51.48
Giacomo Zambon,Chiefs of the Ten,15470130,15470130,Venice,45.4375,12.33583333,NA,NA,NA
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15740228,15740228,Dublin Castle,53.34288611,-6.267427778,Court of St. James,-0.1375,51.50472222
Privy Council,"William Paget, Lord Paget",15450316,15450316,NA,NA,NA,Windsor,-0.6095,51.4791
"John Stewart (Stuart), Duke of Albany","Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15160801,15160801,Edinburgh,55.95305556,-3.188888889,Morpeth,-1.678,55.163
Sir Nicholas Throckmorton,"Sir William Cecil, Lord Burghley",15640123,15640123,Castle of St Germain,48.89805556,2.096388889,Court of St. James,-0.1375,51.50472222
Privy Council,Eustace Chapuys,15431016,15431016,NA,NA,NA,Boulogne,1.6147,50.7264
Sir Walter Stonor,"Thomas Cromwell, Earl of Essex",15380617,15380617,Stonor,51.602,-0.939,Hampton Court,-0.3375,51.40333333
Richard Pollard,"Thomas Cromwell, Earl of Essex",15380915,15380915,Reading,51.455,-0.970555556,Hampton Court,-0.3375,51.40333333
Leonard Frier,"Sir William Cecil, Lord Burghley",15900301,15900331,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Valentine Dale,"Sir William Cecil, Lord Burghley",15730630,15730630,Paris,48.8567,2.3508,Court of St. James,-0.1375,51.50472222
"Sir William Cecil, Lord Burghley",Sir Thomas Smith,15630501,15630501,NA,NA,NA,Blois,1.3281,47.5939
Sir Edward Waterhouse,Sir Francis Walsingham,15801013,15801014,NA,NA,NA,Paris,2.3508,48.8567
"Thomas Sackville, Baron Buckhurst, Earl of Dorset","Sir Robert Cecil, Earl of Salisbury",16010415,16010415,NA,NA,NA,Greenwich,-0,51.48
Walter Pepparde,"Sir William Cecil, Lord Burghley",15631108,15631108,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
"Sir William Cecil, Lord Burghley",Thomas Fanshawe,15860512,15860512,NA,NA,NA,NA,NA,NA
"Mary Marten, widow",Sir John Fortescue,15980901,15980901,NA,NA,NA,Hendon,-0.2252,51.5837
Francois Van der Delft,"Nicholas de Perrenot, Sieur de Granvelle",15460217,15460217,London,51.5155,0.0922,NA,NA,NA
William Davison,Sir Francis Walsingham,15861125,15861125,Court at Richmond,51.46038889,-0.310219444,Paris,2.3508,48.8567
Friar John Hylsey,"Thomas Cromwell, Earl of Essex",15390509,15390509,NA,NA,NA,Hampton Court,-0.3375,51.40333333
Geoffrey Fenton,"Sir William Cecil, Lord Burghley",15940201,15940201,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
Nicholas Wotton,Privy Council,15650902,15650902,Bruges,51.21666667,3.233333333,Greenwich,-0,51.48
Henry VIII,University of Oxford,15410423,15410423,Greenwich,51.48,-0,Oxford,-1.257777778,51.75194444
Queen Elizabeth I,"Frederick IV, Elector Palatine",15990128,15990128,NA,NA,NA,Heidelberg,8.716666667,49.41666667
Robert Wingfield,Henry VIII,15170117,15170117,Juliers,50.92222222,6.358333333,Greenwich,-0,51.48
High Commissioners,"Thomas Cromwell, Earl of Essex",15370926,15370926,Dublin,53.34777778,-6.259722222,Hampton Court,-0.3375,51.40333333
"James Hamilton, 3rd Earl of Arran","Sir William Cecil, Lord Burghley",15600128,15600128,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Privy Council,Jan Richardot,15941021,15941021,NA,NA,NA,NA,NA,NA
Sir Thomas Moyle,"William Fuller, auditor",15470214,15470214,London,51.5155,0.0922,NA,NA,NA
Ottywell Smith,"Sir William Cecil, Lord Burghley",15911206,15911206,Dieppe,49.92,1.08,Court of St. James,-0.1375,51.50472222
George Beverley,Sir John Perrott,15860104,15860104,NA,NA,NA,Dublin Castle,-6.267427778,53.34288611
"Edwin Sandys, Archbishop of York","John Aylmer, Bishop of London",15810501,15810531,NA,NA,NA,NA,NA,NA
"Francis, Duke of Anjou and Alencon","Sir William Cecil, Lord Burghley",15720512,15720512,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Francis Godolphin,"Sir Robert Cecil, Earl of Salisbury",15990526,15990526,NA,NA,NA,Greenwich,-0,51.48
Sir Henry Wallop,"Sir William Cecil, Lord Burghley",15820205,15820205,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
Sir Noel de Caron,"Sir Robert Cecil, Earl of Salisbury",16020917,16020917,NA,NA,NA,Greenwich,-0,51.48
Count Palatine Frederick,Christopher Mont (Mundt),15630221,15630221,Zweitbrucken,49.25,7.366666667,Worms,8.365277778,49.63194444
Walter Smyth,"Thomas Cromwell, Earl of Essex",15330930,15330930,Scherforde,NA,NA,Hampton Court,-0.3375,51.40333333
"Gebhard Truchsess, Elector of Cologne",Queen Elizabeth I,15840701,15840711,Delft,52.01173611,4.359208333,Greenwich,-0,51.48
William Lyly,Sir Francis Walsingham,15890712,15890722,Camp before Pontoyse,49.05,2.1,Paris,2.3508,48.8567
Robert Pypho,"Sir William Cecil, Lord Burghley",15841112,15841115,Athlone,53.4333,-7.95,Court of St. James,-0.1375,51.50472222
"Mary, Queen of Scots",De l&#x0027;Aubespine-Chasteauneuf,15860713,15860713,Chartley,NA,NA,NA,NA,NA
George Gilpin,"Sir William Cecil, Lord Burghley",15901106,15901106,Hague,52.08333333,4.316666667,Court of St. James,-0.1375,51.50472222
Edward Stafford,Sir Francis Walsingham,15840507,15840507,NA,NA,NA,Paris,2.3508,48.8567
Patrick Tourner,Ambassador Archibald Douglas,15871205,15871205,NA,NA,NA,NA,NA,NA
Sir Henry Lee,"Sir Robert Cecil, Earl of Salisbury",16000329,16000329,Woodstock Lodge,51.84194444,-1.361666667,Greenwich,-0,51.48
Eric Count de Hoia et Brockheusen,Henry VIII,15360310,15360310,NA,NA,NA,Greenwich,-0,51.48
Cardinal Thomas Wolsey,"William FitzWilliam, 1st Earl of Southampton",15210101,15211231,NA,NA,NA,Calais,1.856388889,50.94805556
Sir George Bingham,David Dowde,15891002,15891002,NA,NA,NA,NA,NA,NA
"Mary, Queen of Scots",Queen Elizabeth I,15650330,15650330,Holyrood House,55.9525,-3.1725,Greenwich,-0,51.48
John Husee,"Arthur Plantagenet, Lord Lisle",15340420,15340420,London,51.5155,0.0922,Calais,1.856388889,50.94805556
"Catherine de'Medici, Queen consort of France",Sir Thomas Smith,15630804,15630804,Ivetot,49.62,0.75,Blois,1.3281,47.5939
Cardinal Ridolfo Pio,James V,15370422,15370422,Ferrara,44.83333333,11.61666667,Edinburgh,-3.188888889,55.95305556
Robert Allatt,"Sir William Cecil, Lord Burghley",15891215,15891225,Venice,45.4375,12.33583333,Court of St. James,-0.1375,51.50472222
Robert Kidman,Nicholas Williamson,15861224,15941224,NA,NA,NA,Sawley,-1.297,52.876
"George Carew, Earl of Totnes","Sir Robert Cecil, Earl of Salisbury",16020413,16020413,Cork,51.89722222,-8.47,Greenwich,-0,51.48
Justice Nicholas Walshe,Sir William Russell,15960823,15960823,NA,NA,NA,Camp at Tullagh,-6.7369,52.8003
"Thomas Might, victualler","Sir William Cecil, Lord Burghley",15800916,15800916,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
W. Bucton,Sir William Eure,15441213,15441213,Berwick,55.771,-2.007,Berwick,-2.007,55.771
"Hugh O'Neill, Earl of Tyrone",Privy Council,15940208,15940208,Dungannon,54.5,-6.77,Greenwich,-0,51.48
"Cardinal Reginald Pole, Archbishop of Canterbury",Henry VIII,15300513,15300513,Paris,48.8567,2.3508,Greenwich,-0,51.48
"William Knight, Bishop of Bath and Wells",Cardinal Thomas Wolsey,15260101,15261231,NA,NA,NA,Westminster,-0.1333,51.4995
Sir Christopher Hatton,"Sir William Cecil, Lord Burghley",15900101,15901231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"William Stritche, Mayor of Limerick","Sir Robert Cecil, Earl of Salisbury",16000124,16000124,Limerick,52.6653,-8.6238,Greenwich,-0,51.48
William Maitland of Lethington,Lady Livingstone,15730101,15731231,Edinburgh Castle,55.94861111,-3.200833333,NA,NA,NA
"John Dymock (c.1493–1585), London merchant and diplomatic agent","Sir William Cecil, Lord Burghley",15620812,15620812,Dunkirk,51.0383,2.3775,Court of St. James,-0.1375,51.50472222
Sir Nicholas Malby,Sir Francis Walsingham,15801018,15801018,Athlone,53.4333,-7.95,Paris,2.3508,48.8567
"Hugh O'Neill, Earl of Tyrone",Sir Henry Wallop,15940403,15940403,Dungannon,54.5,-6.77,Dublin,-6.259722222,53.34777778
Robert Bowes,"Sir William Cecil, Lord Burghley",15940721,15940721,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Nicholas Shaxton,"Thomas Cromwell, Earl of Essex",15380905,15380905,Ramsbury,51.442,-1.606,Hampton Court,-0.3375,51.40333333
"Henry Hastings, Earl of Huntingdon","Sir William Cecil, Lord Burghley",15721221,15721221,York,53.95833333,-1.080277778,Court of St. James,-0.1375,51.50472222
Philip Mowbray,"Sir Robert Cecil, Earl of Salisbury",16010624,16010624,Edinburgh,55.95305556,-3.188888889,Greenwich,-0,51.48
Sir Walter Ralegh,"Sir Robert Cecil, Earl of Salisbury",15970720,15970720,Plymouth,50.37138889,-4.142222222,Greenwich,-0,51.48
Sir Thomas Wentworth,"Thomas Cromwell, Earl of Essex",15390101,15391231,NA,NA,NA,Hampton Court,-0.3375,51.40333333
Sir Will. Morgan,"Thomas Cromwell, Earl of Essex",15351027,15351027,NA,NA,NA,Hampton Court,-0.3375,51.40333333
"John Stewart, 5th Earl of Atholl",Bailiffs of Edinburgh,15820920,15820920,Dunkeld,56.56434167,-3.584886111,NA,NA,NA
William Cokesey,John Swifte,15681025,15681025,NA,NA,NA,NA,NA,NA
Christopher Mont (Mundt),"William Paget, Lord Paget",15450813,15450813,Worms,49.63194444,8.365277778,Windsor,-0.6095,51.4791
W. C.,Sir William Stanley,15930601,15930611,Rome,41.9,12.5,NA,NA,NA
William Maitland of Lethington,Sir William Drury,15720608,15720608,NA,NA,NA,Berwick,-2.007,55.771
"Sir William Cecil, Lord Burghley","Edwin Sandys, Archbishop of York",15870101,15871231,NA,NA,NA,NA,NA,NA
"Adriane de Noyelle, Old Abbess of Bourbourg","Honor Plantagenet, Lady Lisle",15380713,15380713,Bourbourg,50.9472,2.1986,NA,NA,NA
Charles De Grave,"Honor Plantagenet, Lady Lisle",15361209,15361209,Saint Omer,50.7461,2.2617,NA,NA,NA
Sebastian Giustinian,Council of Ten,15161207,15161207,London,51.5155,0.0922,NA,NA,NA
Sir John Fortescue,"Sir Robert Cecil, Earl of Salisbury",16030718,16030718,Hendon,51.5837,-0.2252,Greenwich,-0,51.48
Sir Henry Lee,"Ambrose Dudley, Earl of Warwick",15810201,15810228,NA,NA,NA,Havre de Grace,0.1,49.48333333
Privy Council,Sir John Wallop,15430827,15430827,Ashridge,51.7996,-0.5594,Guisnes,1.8744,50.8686
"Sir William Cecil, Lord Burghley",Sir Henry Sidney,15660708,15660708,Court of St. James,51.50472222,-0.1375,NA,NA,NA
Privy Council,Sir William Fitzwilliam,15880315,15880315,NA,NA,NA,Dublin Castle,-6.267427778,53.34288611
"Thomas Butler, earl of Ormond","Sir Robert Cecil, Earl of Salisbury",16001231,16001231,Callan,52.55,-7.383333333,Greenwich,-0,51.48
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15620331,15620331,Thomas Court by Dublin,NA,NA,Court of St. James,-0.1375,51.50472222
Sebastian Giustinian,"Leonardo Loredan, Doge of Venice",15190113,15190113,Lambeth,51.4903,-0.1193,Venice,12.33583333,45.4375
Edmund Faye,Sir Edward Bellingham,15480101,15481231,NA,NA,NA,NA,NA,NA
Bishop Tunstall,Cardinal Thomas Wolsey,15260616,15260616,Toledo,39.85666667,-4.024444444,Westminster,-0.1333,51.4995
Richard Douglas,Ambassador Archibald Douglas,15870607,15870607,NA,NA,NA,NA,NA,NA
John Richardson,Queen Elizabeth I,15740802,15740802,NA,NA,NA,Greenwich,-0,51.48
"Charles Blount, Baron Mountjoy and Earl of Devonshire","Sir Robert Cecil, Earl of Salisbury",15971025,15971025,Plymouth,50.37138889,-4.142222222,Greenwich,-0,51.48
"Henry Carey, Lord Hunsdon","Sir William Cecil, Lord Burghley",15700615,15700615,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
Sir Thomas Smith,"Sir William Cecil, Lord Burghley",15650910,15650910,Xaintes,45.7464,-0.6333,Court of St. James,-0.1375,51.50472222
George Gilpin,"Sir William Cecil, Lord Burghley",15930623,15930623,Hague,52.08333333,4.316666667,Court of St. James,-0.1375,51.50472222
Richard Tottell,"Sir William Cecil, Lord Burghley",15780101,15781231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Queen Elizabeth I,"Sir Thomas Radcliffe, earl of Sussex",15700106,15700106,NA,NA,NA,Berwick,-2.007,55.771
"Francis Talbot, Earl of Shrewsbury",Privy Council,15440927,15440927,Darlington,54.527,-1.5526,Greenwich,-0,51.48
Cardinal Thomas Wolsey,Henry VIII,15210903,15210903,Calais,50.94805556,1.856388889,Greenwich,-0,51.48
William Cooke,"Sir Robert Cecil, Earl of Salisbury",16010417,16010417,NA,NA,NA,Greenwich,-0,51.48
Sir Thomas Wilkes (Wylkes),"Sir William Cecil, Lord Burghley",15750330,15750330,Heidelberg,49.41666667,8.716666667,Court of St. James,-0.1375,51.50472222
"Francis I, King of France",Henry VIII,15290101,15291231,NA,NA,NA,Greenwich,-0,51.48
Captan Sarlabos,Scottish Lords,15600917,15600917,Dunbar,56.002725,-2.516902778,NA,NA,NA
Richard Croke,"Hugh Latimer, Bishop of Worcester",15370101,15371231,NA,NA,NA,NA,NA,NA
Eustace Chapuys,Mary Queen Regent of Flanders,15440926,15440926,Boulogne,50.7264,1.6147,NA,NA,NA
"Robert Sidney, Earl of Leicester","Sir Robert Cecil, Earl of Salisbury",15971204,15971204,NA,NA,NA,Greenwich,-0,51.48
Privy Council,Sir Thomas Chaloner (Challoner),15640409,15640409,Windsor,51.4791,-0.6095,Madrid,-3.716666667,40.38333333
Giles Lord Chandos,Privy Council,15870322,15870322,Sudeley Castle,51.94722222,-1.956111111,Greenwich,-0,51.48
John Wode,"Mr. Grey, attorney in Fanshaw's office",15941020,15941020,NA,NA,NA,NA,NA,NA
Anthony Cooke,"Sir William Cecil, Lord Burghley",15810222,15810222,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Julius Caesar,"Sir Robert Cecil, Earl of Salisbury",16020915,16020915,NA,NA,NA,Greenwich,-0,51.48
Henry VIII,Pope Clement VII,15261023,15261023,Westminster,51.4995,-0.1333,Rome,12.5,41.9
"Thomas Seymour, Baron Seymour of Sudeley",Henry VIII,15450911,15450911,Portsmouth,50.81666667,-1.083333333,Greenwich,-0,51.48
John Budden,"Sir Robert Cecil, Earl of Salisbury",16021206,16021206,Shaftesbury,51.0059,-2.1969,Greenwich,-0,51.48
"Henry Carey, Lord Hunsdon","Sir William Cecil, Lord Burghley",15720512,15720512,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
Hew Tootall,"Sir Robert Cecil, Earl of Salisbury",15980101,15981231,NA,NA,NA,Greenwich,-0,51.48
"Thomas Howard,2nd Duke of Norfolk",Cardinal Thomas Wolsey,15220912,15220912,Camp beside Ramly,50.58333333,2.016666667,Westminster,-0.1333,51.4995
Jury of the Commonalty of Kilkenny,High Commissioners,15371005,15371005,NA,NA,NA,Dublin,-6.259722222,53.34777778
"Peregrine Bertie, Baron Willoughby of Eresby",Sir Francis Walsingham,15880507,15880507,Hague,52.08333333,4.316666667,Paris,2.3508,48.8567
Captain Rice Mansell,Sir William Russell,15960608,15960608,Carrickfergus,54.716,-5.809,Camp at Tullagh,-6.7369,52.8003
John Mills,Rowland Shafto,15820101,15821231,NA,NA,NA,NA,NA,NA
Hugh Smyth,"William Paget, Lord Paget",15470313,15470313,Calais,50.94805556,1.856388889,Windsor,-0.6095,51.4791
Agnus M'Connell of Dunaveg,Sir Henry Bagenal,15940125,15940125,Machair more in Scotland,54.91557,-4.607962778,NA,NA,NA
John Parkyns,"Thomas Cromwell, Earl of Essex",15370101,15371231,NA,NA,NA,Hampton Court,-0.3375,51.40333333
"Robert Devereux, Earl of Essex",Queen Elizabeth I,16000621,16000621,NA,NA,NA,Greenwich,-0,51.48
Sir William Goryng,"Thomas Cromwell, Earl of Essex",15360626,15360626,Borton,50.9169,-0.57875,Hampton Court,-0.3375,51.40333333
Queen Elizabeth I,Sir Thomas Smith,15640110,15640110,NA,NA,NA,Blois,1.3281,47.5939
Queen Elizabeth I,"Mary, Queen of Scots",15670630,15670630,Court at Richmond,51.46038889,-0.310219444,Stirling,-3.935833333,56.11944444
Sir William Drury,"Sir William Cecil, Lord Burghley",15680409,15680409,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
Sir William Fitzwilliam,Privy Council,15900324,15900324,Dublin Castle,53.34288611,-6.267427778,Greenwich,-0,51.48
King Frederick II of Denmark and Norway,King James VI,15710309,15710309,Frederiksberg,55.66666667,12.53333333,Falkland Palace,-3.206388889,56.25388889
Queen Mary I,"Sir Thomas Radcliffe, earl of Sussex",15570701,15570731,NA,NA,NA,Berwick,-2.007,55.771
Sir John Fortescue,Thomas Fanshawe,15931213,15931213,NA,NA,NA,NA,NA,NA
Sir Thomas Fane,"Sir Robert Cecil, Earl of Salisbury",16010808,16010808,Dover Castle,51.1297,1.3214,Greenwich,-0,51.48
Anthony d&#x0027;Arques,Gilles Langres,15950510,15950520,NA,NA,NA,NA,NA,NA
Sir John Conway,Privy Council,15900131,15900131,Ostend,51.22444444,2.909722222,Greenwich,-0,51.48
James Mcconel,Council of Ireland,15460124,15460124,Arnamurchan,56.73333333,-5.983333333,Dublin Castle,-6.267427778,53.34288611
"Otto, Duke of Brunswick-L&#x00FC;neburg","Sir William Cecil, Lord Burghley",15600228,15600229,Harburg,53.46666667,9.983333333,Court of St. James,-0.1375,51.50472222
"Jean de la Fin, Seigneur de Beauvoir la Nocle","Sir William Cecil, Lord Burghley",15920702,15920702,London,51.5155,0.0922,Court of St. James,-0.1375,51.50472222
Francis Knollys,"William Paget, Lord Paget",15470305,15470305,Durham Place,51.50888889,-0.123333333,Windsor,-0.6095,51.4791
Bishop of Elna,Cardinal Thomas Wolsey,15161009,15161009,London,51.5155,0.0922,Westminster,-0.1333,51.4995
Privy Council,John Popham,15870613,15870614,NA,NA,NA,"Serjeant's Inn, Fleet Street",-0.109,51.5137
Samuel Molyneux,"Sir William Cecil, Lord Burghley",15950419,15950419,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Thomas Dalston,Henry VIII,15400501,15400501,Carlisle,54.891,-2.944,Greenwich,-0,51.48
"Henry Manners, Earl of Rutland","Sir William Cecil, Lord Burghley",15620511,15620511,York,53.95833333,-1.080277778,Court of St. James,-0.1375,51.50472222
Sir Francis Walsingham,Sir Ralph Sadler,15841103,15841103,NA,NA,NA,Edinburgh,-3.188888889,55.95305556
Anthoine Perrenot,"Edmund Bonner, Bishop of London",15420823,15420823,NA,NA,NA,Hamburg,10.00138889,53.56527778
James IV,"King Christian II of Denmark and Norway, King of Sweden and Duke of Holstein",15130101,15131231,NA,NA,NA,NA,NA,NA
"John Maitland, Lord Maitland of Thirlestane","Sir William Cecil, Lord Burghley",15901207,15901207,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Richard Wingfield,Cardinal Thomas Wolsey,15130604,15130604,Brussels,50.85,4.35,Westminster,-0.1333,51.4995
Queen Elizabeth I,"Marino Grimani, Doge of Venice",16021125,16021125,NA,NA,NA,Venice,12.33583333,45.4375
Thomas Randolph,"Henry Carey, Lord Hunsdon",15810214,15810214,Edinburgh,55.95305556,-3.188888889,Berwick,-2.007,55.771
"Sir Robert Cecil, Earl of Salisbury",George Nicholson,15990112,15990112,NA,NA,NA,NA,NA,NA
"Sir William Cecil, Lord Burghley",Thomas Fanshawe,15771108,15771108,The Court,NA,NA,NA,NA,NA
Richaeus De Lostolla,"Robert Dudley, Earl of Leicester",15870818,15870818,Dordrecht,51.81666667,4.666666667,Flushing,3.566666667,51.45
Privy Council,Robert Bowes,15960621,15960621,NA,NA,NA,Edinburgh,-3.188888889,55.95305556
Henry VIII,"Thomas Wharton, Lord Wharton",15441209,15441209,NA,NA,NA,Edenhall,-2.673,54.685
"Matthew Hutton, Archbishop of York","Sir Robert Cecil, Earl of Salisbury",16011005,16011005,Thorpe,53.91872222,-1.100805556,Greenwich,-0,51.48
Sir Richard Bingham,"Sir William Cecil, Lord Burghley",15940414,15940414,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
John Hackett,Cardinal Thomas Wolsey,15280628,15280628,Mechlin,51.01666667,4.466666667,Westminster,-0.1333,51.4995
"Francis Talbot, Earl of Shrewsbury",Queen Katherine Parr,15440728,15440728,Darlington,54.527,-1.5526,NA,NA,NA
William Maitland of Lethington,"Sir William Cecil, Lord Burghley",15600502,15600502,Camp before Leith,55.97577778,-3.166444444,Court of St. James,-0.1375,51.50472222
Simon Mountfort,"Thomas Cromwell, Earl of Essex",15250101,15251231,Canwell,52.83333333,-2,Hampton Court,-0.3375,51.40333333
Queen Elizabeth I,Sir Roger Williams,15921020,15921020,NA,NA,NA,NA,NA,NA
"Ambrose Dudley, Earl of Warwick",Privy Council,15621220,15621220,Havre de Grace,49.48333333,0.1,Greenwich,-0,51.48
Queen Elizabeth I,Sir John Perrott,15840519,15840519,Greenwich,51.48,-0,Dublin Castle,-6.267427778,53.34288611
"Thos. Goldwell, prior of Christchurch, Canterbury","Thomas Cromwell, Earl of Essex",15340110,15340110,Canterbury,51.275,1.087,Hampton Court,-0.3375,51.40333333
Stephen Vaughan,"Thomas Cromwell, Earl of Essex",15350904,15350904,London,51.5155,0.0922,Hampton Court,-0.3375,51.40333333
Thomas Phelippes,"Sir Robert Cecil, Earl of Salisbury",16010821,16010821,NA,NA,NA,Greenwich,-0,51.48
Vidame of Chartres,"Sir William Cecil, Lord Burghley",15700421,15700421,London,51.5155,0.0922,Court of St. James,-0.1375,51.50472222
Cessell Manxell,"Thomas Cromwell, Earl of Essex",15350803,15350803,Belper,53.029,-1.475,Hampton Court,-0.3375,51.40333333
"Sir William Cecil, Lord Burghley",Lord Cobham,15841027,15841027,NA,NA,NA,Paris,2.3508,48.8567
Council of Ireland,Queen Elizabeth I,15740210,15740210,Dublin Castle,53.34288611,-6.267427778,Greenwich,-0,51.48
Sir Robert Gardener,Privy Council,15980617,15980617,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
"James Stewart, 1st Earl of Moray","Sir William Cecil, Lord Burghley",15691005,15691005,Kelso,55.59851111,-2.433569444,Court of St. James,-0.1375,51.50472222
Geoffrey Fenton,"Sir William Cecil, Lord Burghley",15870321,15870321,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Wm. Banaster, Mayor of Oxford","Thomas Cromwell, Earl of Essex",15380708,15380708,Oxford,51.75194444,-1.257777778,Hampton Court,-0.3375,51.40333333
"Maurice of Nassau, Prince of Orange",Queen Elizabeth I,15971112,15971122,NA,NA,NA,Greenwich,-0,51.48
Estates General,Sir Thomas Bodley,15890115,15890125,NA,NA,NA,Hague,4.316666667,52.08333333
Countess of Northumberland,"Thomas Percy, Earl of Northumberland",15720128,15720128,NA,NA,NA,NA,NA,NA
Sir William Pelham,Sir Francis Walsingham,15800228,15800229,Limerick,52.6653,-8.6238,Paris,2.3508,48.8567
Dorset clothiers,"Sir William Cecil, Lord Burghley",15910220,15910220,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Henry Killigrew,Sir Nicholas Throckmorton,15601022,15601022,London,51.5155,0.0922,Paris,2.3508,48.8567
Thomas Hannibal,Cardinal Thomas Wolsey,15240509,15240509,Rome,41.9,12.5,Westminster,-0.1333,51.4995
Sir Francis Walsingham,Robert Bowes,15831228,15831228,NA,NA,NA,Edinburgh,-3.188888889,55.95305556
Sebastian Giustinian,Council of Ten,15160312,15160312,London,51.5155,0.0922,NA,NA,NA
Sir Francis Walsingham,"Thomas, Master of Glamis",15850124,15850124,NA,NA,NA,NA,NA,NA
John Mercer,"Sir Robert Cecil, Earl of Salisbury",16020917,16020917,Southampton,50.9,-1.4,Greenwich,-0,51.48
Sir Henry Wallop,Sir Francis Walsingham,15850909,15850909,Dublin,53.34777778,-6.259722222,Paris,2.3508,48.8567
Jane Dormer Duchess of Feria,Sir Thomas Chaloner (Challoner),15630515,15630515,Safra,38.41666667,-6.416666667,Madrid,-3.716666667,40.38333333
Captain John Throckmorton,"Sir Robert Cecil, Earl of Salisbury",16010630,16010630,Flushing,51.45,3.566666667,Greenwich,-0,51.48
Anthony Wingfield,Sir Francis Walsingham,15881211,15881211,NA,NA,NA,Paris,2.3508,48.8567
Council of The North,Sir Thomas Cheyne,15421105,15421105,NA,NA,NA,NA,NA,NA
Loys de Renty,"Arthur Plantagenet, Lord Lisle",15360402,15360402,Saint Omer,50.7461,2.2617,Calais,1.856388889,50.94805556
Roger Winston,Sir William Fitzwilliam,15740101,15741231,NA,NA,NA,Dublin Castle,-6.267427778,53.34288611
Deputy Governor of Ostend and others,"Sir William Cecil, Lord Burghley",15931006,15931006,Ostend,51.22444444,2.909722222,Court of St. James,-0.1375,51.50472222
William Davison,"Sir William Cecil, Lord Burghley",15781229,15781229,Antwerp,51.21666667,4.4,Court of St. James,-0.1375,51.50472222
George Lawson,"Thomas Cromwell, Earl of Essex",15330101,15331231,NA,NA,NA,Hampton Court,-0.3375,51.40333333
King James VI,Queen Elizabeth I,16000804,16000804,Falkland Palace,56.25388889,-3.206388889,Greenwich,-0,51.48
Sir Thomas Bodley,"Sir William Cecil, Lord Burghley",15921102,15921102,Hague,52.08333333,4.316666667,Court of St. James,-0.1375,51.50472222
Dutch Admirality,Robert Beale,15760427,15760518,NA,NA,NA,London,0.0922,51.5155
Mary Basset,"Honor Plantagenet, Lady Lisle",15341108,15341108,Bours,50.4553,2.4058,NA,NA,NA
James Sempill of Beltries,"Sir Robert Cecil, Earl of Salisbury",15991103,15991103,London,51.5155,0.0922,Greenwich,-0,51.48
William Herle,"Sir William Cecil, Lord Burghley",15710404,15710404,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Thomas Wilkes (Wylkes),Deputy Governor of Ostend and others,15860923,15860923,Windsor Castle,51.48333333,-0.604166667,Ostend,2.909722222,51.22444444
"Juan de Silva, Count of Cifuentes","Holy Roman Emperor Charles V, (King Charles I of Spain)",15340112,15340112,NA,NA,NA,Brussels,4.35,50.85
William Maitland of Lethington,Privy Council,15661118,15661118,Dunbar,56.002725,-2.516902778,Greenwich,-0,51.48
John Moore,"Sir Robert Cecil, Earl of Salisbury",16010101,16031231,NA,NA,NA,Greenwich,-0,51.48
Mons. De Sillery,"Henry IV, King of France",15980211,15980221,NA,NA,NA,Chartres,1.484,48.456
Sir William Drury,"Sir William Cecil, Lord Burghley",15680602,15680602,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
"Philip, Count of Nassau",King Philip II of Spain,15971210,15971220,Brussels,50.85,4.35,NA,NA,NA
Sir John Conway,Privy Council,15871106,15871106,Ostend,51.22444444,2.909722222,Greenwich,-0,51.48
"Robert Devereux, Earl of Essex","Sir Robert Cecil, Earl of Salisbury",15970625,15970625,NA,NA,NA,Greenwich,-0,51.48
"Sir Robert Cecil, Earl of Salisbury",George Nicholson,16020706,16020706,NA,NA,NA,NA,NA,NA
